22:22:57.239 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.0.Final
22:23:24.990 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f81b3ac4-0fd0-4992-b5ee-4b374bb12e99_config-0] fail to connect server,after trying 4 times, last try server is {serverIp='192.168.145.130', server main port=2222},error=unknown
22:23:28.493 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f81b3ac4-0fd0-4992-b5ee-4b374bb12e99_config-0] fail to connect server,after trying 5 times, last try server is {serverIp='192.168.145.130', server main port=2222},error=unknown
22:23:32.095 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f81b3ac4-0fd0-4992-b5ee-4b374bb12e99_config-0] fail to connect server,after trying 6 times, last try server is {serverIp='192.168.145.130', server main port=2222},error=unknown
22:23:35.800 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f81b3ac4-0fd0-4992-b5ee-4b374bb12e99_config-0] fail to connect server,after trying 7 times, last try server is {serverIp='192.168.145.130', server main port=2222},error=unknown
22:23:39.601 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f81b3ac4-0fd0-4992-b5ee-4b374bb12e99_config-0] fail to connect server,after trying 8 times, last try server is {serverIp='192.168.145.130', server main port=2222},error=unknown
22:23:43.505 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f81b3ac4-0fd0-4992-b5ee-4b374bb12e99_config-0] fail to connect server,after trying 9 times, last try server is {serverIp='192.168.145.130', server main port=2222},error=unknown
22:23:47.524 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f81b3ac4-0fd0-4992-b5ee-4b374bb12e99_config-0] fail to connect server,after trying 10 times, last try server is {serverIp='192.168.145.130', server main port=2222},error=unknown
22:23:51.635 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f81b3ac4-0fd0-4992-b5ee-4b374bb12e99_config-0] fail to connect server,after trying 11 times, last try server is {serverIp='192.168.145.130', server main port=2222},error=unknown
22:23:55.852 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f81b3ac4-0fd0-4992-b5ee-4b374bb12e99_config-0] fail to connect server,after trying 12 times, last try server is {serverIp='192.168.145.130', server main port=2222},error=unknown
22:24:00.163 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f81b3ac4-0fd0-4992-b5ee-4b374bb12e99_config-0] fail to connect server,after trying 13 times, last try server is {serverIp='192.168.145.130', server main port=2222},error=unknown
22:24:04.575 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f81b3ac4-0fd0-4992-b5ee-4b374bb12e99_config-0] fail to connect server,after trying 14 times, last try server is {serverIp='192.168.145.130', server main port=2222},error=unknown
22:24:09.084 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f81b3ac4-0fd0-4992-b5ee-4b374bb12e99_config-0] fail to connect server,after trying 15 times, last try server is {serverIp='192.168.145.130', server main port=2222},error=unknown
22:24:13.698 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f81b3ac4-0fd0-4992-b5ee-4b374bb12e99_config-0] fail to connect server,after trying 16 times, last try server is {serverIp='192.168.145.130', server main port=2222},error=unknown
